


bus:<bus3>;car:<car1,car2>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car10,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car10,car2>;truck:<truck4>;
bus:<bus3>;car:<car1,car10,car2>;person:<person12>;truck:<truck4>;
bus:<bus3>;car:<car1,car10,car2>;person:<person12>;
bus:<bus3>;car:<car1,car10,car2>;person:<person12>;
bus:<bus3>;car:<car10,car2>;person:<person12,person14>;
bus:<bus3>;car:<car10,car2>;person:<person12,person14>;
bus:<bus3>;car:<car10,car2>;person:<person12,person14,person15>;
bus:<bus3>;car:<car10,car2>;person:<person12,person14,person15>;
bus:<bus3>;car:<car10,car2>;person:<person12,person14,person15>;
bus:<bus3>;car:<car10,car2>;person:<person14,person15>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14,person15>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14,person15>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14,person15>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14,person15>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14,person15>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14,person15>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14,person15>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car2>;person:<person14>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car2>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car2>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car2,car20>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;truck:<truck17>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
